Classe,Acuracia,Precisao,Recall,F1-score
awning-tricycle,0.052307692307692305,0.0787037037037037,0.052307692307692305,0.06284658040665435
bicycle,0.11016949152542373,0.12380952380952381,0.11016949152542373,0.11659192825112108
bus,0.3154602323503128,0.3358705994291151,0.3154602323503128,0.3253456221198156
car,0.5517667026693411,0.6753541076487252,0.5517667026693411,0.6073369565217391
motor,0.07792207792207792,0.24761904761904763,0.07792207792207792,0.11854103343465044
pedestrian,0.6765523632993512,0.6139613120269134,0.6765523632993512,0.6437389770723104
people,0.6164772727272727,0.04470539761021838,0.6164772727272727,0.08336534767575873
tricycle,0.12359550561797752,0.047619047619047616,0.12359550561797752,0.06875
truck,0.06323060573857599,0.17761194029850746,0.06323060573857599,0.0932601880877743
van,0.16788830715532285,0.21302037201062887,0.16788830715532285,0.18778059730626584
