Classe,Acuracia,Precisao,Recall,F1-score
awning-tricycle,0.11076923076923077,0.023255813953488372,0.11076923076923077,0.038441003737319804
bicycle,0.0,0.0,0.0,0.0
bus,0.04870420017873101,0.18696397941680962,0.04870420017873101,0.07727756114852889
car,0.35094892763462426,0.5600147728671673,0.35094892763462426,0.4314915816931467
motor,0.41858141858141856,0.05513157894736842,0.41858141858141856,0.09743053133356587
pedestrian,0.006950880444856348,0.24193548387096775,0.006950880444856348,0.013513513513513514
people,0.14488636363636365,0.027868852459016394,0.14488636363636365,0.0467461044912924
tricycle,0.0,0.0,0.0,0.0
truck,0.0,0.0,0.0,0.0
van,0.17975567190226877,0.11343612334801761,0.17975567190226877,0.13909520594193114
