Classe,Acuracia,Precisao,Recall,F1-score
awning-tricycle,0.3323076923076923,0.37630662020905925,0.3323076923076923,0.35294117647058826
bicycle,0.6694915254237288,0.49221183800623053,0.6694915254237288,0.5673249551166966
bus,0.77390527256479,0.6916932907348243,0.77390527256479,0.7304934626739773
car,0.8301188088257985,0.9017011648370066,0.8301188088257985,0.8644306085559349
motor,0.8001998001998002,0.5915805022156573,0.8001998001998002,0.6802547770700638
pedestrian,0.845227062094532,0.9539748953974896,0.845227062094532,0.8963144963144962
people,0.7471590909090909,0.4318555008210181,0.7471590909090909,0.5473465140478668
tricycle,0.6666666666666666,0.33904761904761904,0.6666666666666666,0.44949494949494945
truck,0.7088204038257173,0.6198884758364313,0.7088204038257173,0.661378284581061
van,0.5720767888307156,0.6095202677575307,0.5720767888307156,0.5902052574720923
