Classe,Acuracia,Precisao,Recall,F1-score
awning-tricycle,0.4492307692307692,0.2997946611909651,0.4492307692307692,0.3596059113300492
bicycle,0.614406779661017,0.42028985507246375,0.614406779661017,0.49913941480206536
bus,0.7524575513851653,0.7135593220338983,0.7524575513851653,0.7324923879947804
car,0.7943990124980713,0.9075445090780891,0.7943990124980713,0.8472107948000659
motor,0.7002997002997003,0.5722448979591837,0.7002997002997003,0.6298292902066487
pedestrian,0.6955514365152919,0.9282622139764997,0.6955514365152919,0.7952317880794701
people,0.8238636363636364,0.20124913254684246,0.8238636363636364,0.32348020078081424
tricycle,0.5205992509363296,0.3068432671081678,0.5205992509363296,0.3861111111111111
truck,0.6094580233793836,0.6458333333333334,0.6094580233793836,0.6271186440677966
van,0.5664921465968586,0.5015451174289246,0.5664921465968586,0.5320439272250451
