Classe,Acuracia,Precisao,Recall,F1-score
awning-tricycle,0.2553846153846154,0.13452188006482982,0.2553846153846154,0.17622080679405516
bicycle,0.3898305084745763,0.1036036036036036,0.3898305084745763,0.16370106761565836
bus,0.5245755138516532,0.40566689702833447,0.5245755138516532,0.4575214341387373
car,0.5495293936120969,0.7923248053392659,0.5495293936120969,0.6489613702623906
motor,0.4225774225774226,0.22852512155591573,0.4225774225774226,0.2966339410939691
pedestrian,0.8169601482854495,0.5882549215882549,0.8169601482854495,0.683996120271581
people,0.5227272727272727,0.10556511761331039,0.5227272727272727,0.17565632458233893
tricycle,0.23595505617977527,0.1351931330472103,0.23595505617977527,0.17189631650750345
truck,0.21625929861849097,0.44143167028199565,0.21625929861849097,0.29029957203994294
van,0.2973821989528796,0.29198080877313226,0.2973821989528796,0.29465675255057927
