Classe,Acuracia,Precisao,Recall,F1-score
awning-tricycle,0.24307692307692308,0.125,0.24307692307692308,0.16509926854754442
bicycle,0.4915254237288136,0.15654520917678813,0.4915254237288136,0.23746161719549644
bus,0.5375335120643432,0.5020868113522537,0.5375335120643432,0.5192058696590419
car,0.644653602839068,0.8253654681943896,0.644653602839068,0.7239019319067834
motor,0.4565434565434565,0.30046022353714663,0.4565434565434565,0.36241078509119745
pedestrian,0.829935125115848,0.6851568477429227,0.829935125115848,0.7506286672254819
people,0.5142045454545454,0.15947136563876652,0.5142045454545454,0.24344317417619368
tricycle,0.31086142322097376,0.11401098901098901,0.31086142322097376,0.16683417085427135
truck,0.36928799149840597,0.43628374136848713,0.36928799149840597,0.39999999999999997
van,0.32914485165794066,0.33654532476802285,0.32914485165794066,0.3328039527086642
